"tidspunkt"	"lufttryk"	"temperatur"	"luftfugtighed"
"09.01.2009 08:00:00"	1003.1	-17.02	87.8
"09.01.2009 10:00:00"	1003.85	-15.23	87.2
"09.01.2009 12:00:00"	1003.27	-10.47	79.9
"09.01.2009 14:00:00"	1002.18	-4.91	60.78
"09.01.2009 16:00:00"	1002.2	-4.75	65.01
"09.01.2009 18:00:00"	1002.76	-9.15	86
"09.01.2009 20:00:00"	1002.88	-11.93	88.8
"09.01.2009 22:00:00"	1003.62	-12.27	90.8
"10.01.2009 00:00:00"	1003.63	-13.24	89.6
"10.01.2009 02:00:00"	1003.6	-14.52	88.9
"10.01.2009 04:00:00"	1003.82	-14.59	88.6
"10.01.2009 06:00:00"	1003.26	-15.22	88.4
"10.01.2009 08:00:00"	1003.58	-15.46	88
"10.01.2009 10:00:00"	1003.83	-12.71	84.1
"10.01.2009 12:00:00"	1003.13	-7.48	66.7
"10.01.2009 14:00:00"	1002.17	-3.82	61.07
"10.01.2009 16:00:00"	1002.26	-3.16	62.29
"10.01.2009 18:00:00"	1002.16	-7.7	85.8
"10.01.2009 20:00:00"	1002.21	-9.44	91.4
"10.01.2009 22:00:00"	1002.38	-11.22	91.7
"11.01.2009 00:00:00"	1002.72	-10.75	92.2
"11.01.2009 02:00:00"	1002.86	-11.8	92.3
"11.01.2009 04:00:00"	1004.02	-13.18	90.2
"11.01.2009 06:00:00"	1003.54	-12.45	91.3
"11.01.2009 08:00:00"	1004.09	-13.4	90
"11.01.2009 10:00:00"	1005.37	-10.25	85.3
"11.01.2009 12:00:00"	1005.07	-7.12	73.8
"11.01.2009 14:00:00"	1003.64	-2.72	63.23
"11.01.2009 16:00:00"	1003.71	-0.33	59.4
"11.01.2009 18:00:00"	1004.33	-5.13	80.1
"11.01.2009 20:00:00"	1004.05	-8.27	91.2
"11.01.2009 22:00:00"	1004.06	-8.37	90.2
"12.01.2009 00:00:00"	1003.34	-8.96	88
"12.01.2009 02:00:00"	1002.25	-8.29	85.4
"12.01.2009 04:00:00"	1001.83	-9.6	88.2
"12.01.2009 06:00:00"	1001.04	-10.76	88.5
"12.01.2009 08:00:00"	1000.7	-9.34	84
"12.01.2009 10:00:00"	1000.13	-8	78.5
"12.01.2009 12:00:00"	998.86	-3.64	66.14
"12.01.2009 14:00:00"	996.82	1.3	53.3
"12.01.2009 16:00:00"	996.14	1.51	52.84
"12.01.2009 18:00:00"	995.52	-2.76	66.72
"12.01.2009 20:00:00"	994.98	-3.53	63.05
"12.01.2009 22:00:00"	994.58	-4.35	64.51
"13.01.2009 00:00:00"	993.54	-5.19	66.4
"13.01.2009 02:00:00"	992.39	-4.56	66.7
"13.01.2009 04:00:00"	991.56	-4.9	69.27
"13.01.2009 06:00:00"	990.82	-4.26	66.74
"13.01.2009 08:00:00"	990.75	-3.76	66.91
"13.01.2009 10:00:00"	991.17	-1.47	59.34
"13.01.2009 12:00:00"	990.29	2.58	47.04
"13.01.2009 14:00:00"	989.14	4.63	44.14
"13.01.2009 16:00:00"	988.92	3.25	48.12
"13.01.2009 18:00:00"	988.75	-0.8	64.07
"13.01.2009 20:00:00"	988.46	-1.57	62.39
"13.01.2009 22:00:00"	988.78	-4.01	72.8
"14.01.2009 00:00:00"	988.02	-4.41	74.1
"14.01.2009 02:00:00"	987.07	-7.53	83
"14.01.2009 04:00:00"	986.82	-8.39	83.3
"14.01.2009 06:00:00"	986.69	-9.4	91.3
"14.01.2009 08:00:00"	987.08	-10.21	90.8
"14.01.2009 10:00:00"	987.13	-8.25	83.4
"14.01.2009 12:00:00"	987.15	-4.68	71
"14.01.2009 14:00:00"	986.54	-1.99	65.59
"14.01.2009 16:00:00"	987.03	-1.13	66.41
"14.01.2009 18:00:00"	987.97	-1.51	80.3
"14.01.2009 20:00:00"	988.98	-1.69	85.4
"14.01.2009 22:00:00"	989.51	0.07	89.6
"15.01.2009 00:00:00"	990.2	0.44	90.7
"15.01.2009 02:00:00"	991.03	0.29	92
"15.01.2009 04:00:00"	991.58	-0.35	95
"15.01.2009 06:00:00"	992.66	0.05	95.3
"15.01.2009 08:00:00"	993.39	-0.01	94
"15.01.2009 10:00:00"	993.96	0.29	91.2
"15.01.2009 12:00:00"	994.72	1.99	84.4
"15.01.2009 14:00:00"	994.26	2.39	82.5
"15.01.2009 16:00:00"	994.7	2.58	79.9
"15.01.2009 18:00:00"	995.6	-0.48	91.9
"15.01.2009 20:00:00"	996.58	-2.89	95.5
"15.01.2009 22:00:00"	996.99	-3.37	96.9
"16.01.2009 00:00:00"	997.57	-4.03	97.7
"16.01.2009 02:00:00"	997.76	-4.61	97.9
"16.01.2009 04:00:00"	998.08	-5.11	97.5
"16.01.2009 06:00:00"	998.46	-4.73	97.5
"16.01.2009 08:00:00"	998.83	-4.27	97.7
"16.01.2009 10:00:00"	999.07	-4.39	97.3
"16.01.2009 12:00:00"	998.62	-2.85	95.6
"16.01.2009 14:00:00"	997.26	-0.05	84.5
"16.01.2009 16:00:00"	996.92	0.38	83.8
"16.01.2009 18:00:00"	996.91	-0.72	88.7
"16.01.2009 20:00:00"	996.3	-1.78	88.6
"16.01.2009 22:00:00"	995.64	-2.2	89.1
"17.01.2009 00:00:00"	995.14	-2.3	88.4
"17.01.2009 02:00:00"	994.75	-2.35	88.8
"17.01.2009 04:00:00"	994.25	-2.04	87.4
"17.01.2009 06:00:00"	993.62	-2.1	87.9
"17.01.2009 08:00:00"	993.46	-1.24	90.6
"17.01.2009 10:00:00"	993.23	-0.49	91.4
"17.01.2009 12:00:00"	992.79	0.7	85.3
"17.01.2009 14:00:00"	991.58	1.77	82.5
"17.01.2009 16:00:00"	990.96	2.07	83.6
"17.01.2009 18:00:00"	990.31	1.7	87.1
"17.01.2009 20:00:00"	989.62	1.09	91.9
"17.01.2009 22:00:00"	989.14	1.67	88.7
"18.01.2009 00:00:00"	987.96	1.94	86.3
"18.01.2009 02:00:00"	987.77	1.65	87.9
"18.01.2009 04:00:00"	986.03	0.98	89.3
"18.01.2009 06:00:00"	983.91	0.04	94
"18.01.2009 08:00:00"	981.87	1.56	89.3
"18.01.2009 10:00:00"	979.91	2.82	84.2
"18.01.2009 12:00:00"	976.92	5.05	71.3
"18.01.2009 14:00:00"	975.05	4.01	71.6
"18.01.2009 16:00:00"	973.17	2.95	79.8
"18.01.2009 18:00:00"	972.46	3.07	81.4
"18.01.2009 20:00:00"	973.48	3.47	80.6
"18.01.2009 22:00:00"	976.04	3.17	82.8
"19.01.2009 00:00:00"	978.22	2.89	74.5
"19.01.2009 02:00:00"	979.66	1.17	77.6
"19.01.2009 04:00:00"	979.38	1.27	77.6
"19.01.2009 06:00:00"	979.09	1.52	79.1
"19.01.2009 08:00:00"	977.73	0.84	75.1
"19.01.2009 10:00:00"	975.58	0.75	80.3
"19.01.2009 12:00:00"	972.27	3.12	73.9
"19.01.2009 14:00:00"	969.37	3.62	70.5
"19.01.2009 16:00:00"	967.32	3.41	82
"19.01.2009 18:00:00"	966.55	3.63	83.3
"19.01.2009 20:00:00"	966.45	3.7	85.3
"19.01.2009 22:00:00"	966.56	4.27	85.8
"20.01.2009 00:00:00"	966.01	4.08	88.3
"20.01.2009 02:00:00"	965.56	5.07	82.7
"20.01.2009 04:00:00"	966.18	6.24	74.9
"20.01.2009 06:00:00"	968.16	5.33	73.1
"20.01.2009 08:00:00"	969.3	4.64	75.1
"20.01.2009 10:00:00"	970.1	4.13	75
"20.01.2009 12:00:00"	972.14	4.25	75.8
"20.01.2009 14:00:00"	972.63	4.52	73.5
"20.01.2009 16:00:00"	973.86	3.57	73.7
"20.01.2009 18:00:00"	974.51	1.57	78.6
"20.01.2009 20:00:00"	975.5	-0.45	87.3
"20.01.2009 22:00:00"	976.58	-1.71	91.7
"21.01.2009 00:00:00"	977.43	-2.96	95.3
"21.01.2009 02:00:00"	977.75	-3.13	96.1
"21.01.2009 04:00:00"	978.25	-2.43	96.9
"21.01.2009 06:00:00"	978.07	-2.75	95.9
"21.01.2009 08:00:00"	979.34	-2.9	96.1
"21.01.2009 10:00:00"	980.2	-2	94.6
"21.01.2009 12:00:00"	980.6	-0.25	87.6
"21.01.2009 14:00:00"	980.48	0.77	85.5
"21.01.2009 16:00:00"	980.84	0.79	88.1
"21.01.2009 18:00:00"	981.52	0.32	89.8
"21.01.2009 20:00:00"	982.24	-1.84	93.8
"21.01.2009 22:00:00"	982.98	-2.18	95.3
"22.01.2009 00:00:00"	983.51	-3.62	96.8
"22.01.2009 02:00:00"	983.27	-3.66	97.5
"22.01.2009 04:00:00"	982.75	-3.37	97.4
"22.01.2009 06:00:00"	982.02	-3.46	97.1
"22.01.2009 08:00:00"	981.6	-3.2	97
"22.01.2009 10:00:00"	980.91	-2.01	94.1
"22.01.2009 12:00:00"	979.32	2	77.1
"22.01.2009 14:00:00"	976.96	2.63	71.2
"22.01.2009 16:00:00"	975.63	2.42	70.7
"22.01.2009 18:00:00"	974.88	0.24	78.8
"22.01.2009 20:00:00"	973.17	-0.97	83.5
"22.01.2009 22:00:00"	972.66	-1.38	84.2
"23.01.2009 00:00:00"	971.4	-0.75	80.7
"23.01.2009 02:00:00"	969.35	-1.32	81.4
"23.01.2009 04:00:00"	967.13	-1.36	80.8
"23.01.2009 06:00:00"	963.88	-1.42	79.2
"23.01.2009 08:00:00"	960.77	-1.51	79.9
"23.01.2009 10:00:00"	955.92	0.09	67.53
"23.01.2009 12:00:00"	952.39	3.02	59.09
"23.01.2009 14:00:00"	947.77	0.52	90.3
"23.01.2009 16:00:00"	945.13	2	86.5
"23.01.2009 18:00:00"	944.99	4.79	81.2
"23.01.2009 20:00:00"	946.9	5.1	80.3
"23.01.2009 22:00:00"	949.8	5.34	77.7
"24.01.2009 00:00:00"	952.33	3.93	71.6
"24.01.2009 02:00:00"	954.27	1.24	92.9
"24.01.2009 04:00:00"	955.92	2.44	85.7
"24.01.2009 06:00:00"	957.5	2.24	84
"24.01.2009 08:00:00"	958.35	2.07	77.9
"24.01.2009 10:00:00"	959.92	3.15	70.9
"24.01.2009 12:00:00"	960.78	3.82	63.31
"24.01.2009 14:00:00"	961.3	5.3	55.83
"24.01.2009 16:00:00"	962.87	3.8	63.13
"24.01.2009 18:00:00"	965.11	3.19	65.75
"24.01.2009 20:00:00"	966.86	2.35	70.5
"24.01.2009 22:00:00"	969.16	0.54	82.4
"25.01.2009 00:00:00"	971.14	0.29	85
"25.01.2009 02:00:00"	972.1	0.37	87.2
"25.01.2009 04:00:00"	973.13	0.52	87.7
"25.01.2009 06:00:00"	973.82	-0.59	92.3
"25.01.2009 08:00:00"	974.73	-0.77	92.5
"25.01.2009 10:00:00"	975.36	0.14	89.9
"25.01.2009 12:00:00"	974.81	3.19	76.9
"25.01.2009 14:00:00"	973.86	4.97	61.59
"25.01.2009 16:00:00"	973.73	5.62	60.65
"25.01.2009 18:00:00"	974.1	1.72	76.1
"25.01.2009 20:00:00"	974.56	-0.86	86.8
"25.01.2009 22:00:00"	975.24	-2.3	93.3
"26.01.2009 00:00:00"	975.21	-3.28	95.5
"26.01.2009 02:00:00"	975.08	-3.69	96.4
"26.01.2009 04:00:00"	975.13	-4.21	96.3
"26.01.2009 06:00:00"	975.62	-5.13	96.8
"26.01.2009 08:00:00"	976.18	-5.77	97
"26.01.2009 10:00:00"	976.97	-4.95	97
"26.01.2009 12:00:00"	977.21	-3.08	97.4
"26.01.2009 14:00:00"	976.84	-2.5	97.3
"26.01.2009 16:00:00"	977.67	-2.6	97.1
"26.01.2009 18:00:00"	978.5	-2.18	95.9
"26.01.2009 20:00:00"	979.34	-1.59	96.2
"26.01.2009 22:00:00"	980.12	-1.3	96.3
"27.01.2009 00:00:00"	980.97	-1.14	95.3
"27.01.2009 02:00:00"	981.52	-1.27	97.2
"27.01.2009 04:00:00"	982.05	-1.17	97.9
"27.01.2009 06:00:00"	983.11	-1.09	98.5
"27.01.2009 08:00:00"	984.34	-1.1	99.1
"27.01.2009 10:00:00"	985.36	-1.16	99.4
"27.01.2009 12:00:00"	986.57	-1.29	99.4
"27.01.2009 14:00:00"	986.72	-1.3	99.6
"27.01.2009 16:00:00"	988.16	-1.43	99.7
"27.01.2009 18:00:00"	989.45	-1.5	99.7
"27.01.2009 20:00:00"	989.99	-1.7	99.8
"27.01.2009 22:00:00"	990.35	-1.7	99.9
"28.01.2009 00:00:00"	990.97	-1.68	100
"28.01.2009 02:00:00"	990.85	-1.69	100
"28.01.2009 04:00:00"	991.2	-1.93	100
"28.01.2009 06:00:00"	991.59	-2.7	100
"28.01.2009 08:00:00"	992.09	-2.77	99.7
"28.01.2009 10:00:00"	992.8	-2.96	99.4
"28.01.2009 12:00:00"	992.95	-2.64	97.6
"28.01.2009 14:00:00"	992.57	-2.36	92.2
"28.01.2009 16:00:00"	992.92	-2.45	92.4
"28.01.2009 18:00:00"	994.28	-2.48	90.5
"28.01.2009 20:00:00"	994.51	-2.61	91.4
"28.01.2009 22:00:00"	994.81	-3.1	93.9
"29.01.2009 00:00:00"	995.05	-2.74	89
"29.01.2009 02:00:00"	995.27	-2.61	86.5
"29.01.2009 04:00:00"	995.05	-2.73	89.7
"29.01.2009 06:00:00"	995.7	-3.14	94.3
"29.01.2009 08:00:00"	996.14	-3.23	94.6
"29.01.2009 10:00:00"	996.86	-2.63	89.8
"29.01.2009 12:00:00"	997.23	-1.9	85.4
"29.01.2009 14:00:00"	996.62	-1.9	86.3
"29.01.2009 16:00:00"	997.23	-1.74	86.3
"29.01.2009 18:00:00"	998.03	-1.96	86.9
"29.01.2009 20:00:00"	998.36	-1.94	87.8
"29.01.2009 22:00:00"	998.71	-2.16	85.6
"30.01.2009 00:00:00"	998.82	-1.96	82.7
"30.01.2009 02:00:00"	998.95	-1.96	79.4
"30.01.2009 04:00:00"	998.83	-2.19	79.5
"30.01.2009 06:00:00"	998.83	-2.55	81
"30.01.2009 08:00:00"	999.45	-2.72	81.1
"30.01.2009 10:00:00"	999.83	-2.97	80.9
"30.01.2009 12:00:00"	999.94	-2.79	79
"30.01.2009 14:00:00"	998.83	-2.34	78.4
"30.01.2009 16:00:00"	998.56	-2.36	79.6
"30.01.2009 18:00:00"	998.83	-2.03	76.9
"30.01.2009 20:00:00"	998.63	-2.17	82.5
"30.01.2009 22:00:00"	998.13	-2.5	88.5
"31.01.2009 00:00:00"	997.42	-2.48	88.9
"31.01.2009 02:00:00"	996.77	-2.47	91.6
"31.01.2009 04:00:00"	996.43	-2.34	92.2
"31.01.2009 06:00:00"	995.97	-2.23	93.4
"31.01.2009 08:00:00"	995.88	-2.05	92.9
"31.01.2009 10:00:00"	995.38	-1.76	90.1
"31.01.2009 12:00:00"	994.94	-1.47	92.1
"31.01.2009 14:00:00"	993.68	-0.87	84.3
"31.01.2009 16:00:00"	993.37	-1.59	86
"31.01.2009 18:00:00"	993.1	-1.83	75.2
"31.01.2009 20:00:00"	992.07	-2.35	85.4
"31.01.2009 22:00:00"	990.9	-2.43	91.2
"01.02.2009 00:00:00"	989.86	-2.97	85.5
"01.02.2009 02:00:00"	988.61	-3.43	79
"01.02.2009 04:00:00"	987.23	-3.68	82.8
"01.02.2009 06:00:00"	986.39	-4.19	90.5
"01.02.2009 08:00:00"	986.55	-4.15	87.4
"01.02.2009 10:00:00"	986.63	-3.8	84.8
"01.02.2009 12:00:00"	986.24	-3.09	83.6
"01.02.2009 14:00:00"	984.95	-2.75	78.7
"01.02.2009 16:00:00"	984.43	-2.73	76.5
"01.02.2009 18:00:00"	984.55	-3.27	80.2
"01.02.2009 20:00:00"	983.68	-3.29	81.5
"01.02.2009 22:00:00"	983.11	-2.75	85.7
"02.02.2009 00:00:00"	982.74	-2.54	87.4
"02.02.2009 02:00:00"	982.11	-2.36	81.6
"02.02.2009 04:00:00"	981.82	-2.85	80
"02.02.2009 06:00:00"	981.76	-3.79	83.9
"02.02.2009 08:00:00"	982.13	-5.01	88.2
"02.02.2009 10:00:00"	982	-1.66	76.7
"02.02.2009 12:00:00"	980.78	0.43	73.4
"02.02.2009 14:00:00"	979.3	2.98	68.23
"02.02.2009 16:00:00"	977.78	2.87	72.5
"02.02.2009 18:00:00"	977.67	1.48	80.5
"02.02.2009 20:00:00"	977.22	0.38	85.4
"02.02.2009 22:00:00"	976.96	-0.17	88.1
"03.02.2009 00:00:00"	976.35	-0.9	91.4
"03.02.2009 02:00:00"	975.51	-2.07	95.2
"03.02.2009 04:00:00"	974.84	-2.73	96.2
"03.02.2009 06:00:00"	974.46	-2.8	96.2
"03.02.2009 08:00:00"	974.66	-3.28	95.5
"03.02.2009 10:00:00"	974.33	-0.97	89.3
"03.02.2009 12:00:00"	974.14	1.19	84.7
"03.02.2009 14:00:00"	973.37	3.96	76
"03.02.2009 16:00:00"	972.57	5.57	69.73
"03.02.2009 18:00:00"	972.5	2.65	81.7
"03.02.2009 20:00:00"	972.79	0.04	90.9
"03.02.2009 22:00:00"	972.85	-1.67	94.9
"04.02.2009 00:00:00"	972.68	-2.64	96.9
"04.02.2009 02:00:00"	972.3	-3.41	97.5
"04.02.2009 04:00:00"	972.35	-4.17	97.9
"04.02.2009 06:00:00"	971.96	-4.72	97.9
"04.02.2009 08:00:00"	972.21	-4.83	98.1
"04.02.2009 10:00:00"	972.52	-3.14	97.2
"04.02.2009 12:00:00"	972.16	0.35	91.9
"04.02.2009 14:00:00"	971.37	4.32	74.2
"04.02.2009 16:00:00"	971.04	3.67	78.5
"04.02.2009 18:00:00"	971.81	1.08	89.1
"04.02.2009 20:00:00"	972.17	0.07	92
"04.02.2009 22:00:00"	972.52	-0.28	94.9
"05.02.2009 00:00:00"	972.48	0.78	95.8
"05.02.2009 02:00:00"	972.45	-0.3	97.3
"05.02.2009 04:00:00"	972.72	-0.36	97.8
"05.02.2009 06:00:00"	972.42	-1.1	98.5
"05.02.2009 08:00:00"	972.43	-1.23	98.4
"05.02.2009 10:00:00"	972.59	0.74	90.1
"05.02.2009 12:00:00"	972.18	4.01	79
"05.02.2009 14:00:00"	970.92	6.3	68.82
"05.02.2009 16:00:00"	971.28	5.35	75.9
"05.02.2009 18:00:00"	971.68	4.77	68.96
"05.02.2009 20:00:00"	971.38	2.92	76.5
"05.02.2009 22:00:00"	971.63	0.58	86.3
"06.02.2009 00:00:00"	971.67	0.78	87.2
"06.02.2009 02:00:00"	970.97	-0.61	91.1
"06.02.2009 04:00:00"	970.65	-0.79	92.4
"06.02.2009 06:00:00"	970.33	-0.44	90.7
"06.02.2009 08:00:00"	970	0.04	91.8
"06.02.2009 10:00:00"	969.25	1.63	86.1
"06.02.2009 12:00:00"	969.19	2.79	85
"06.02.2009 14:00:00"	967.7	8.96	60.1
"06.02.2009 16:00:00"	966.49	7.62	66.23
"06.02.2009 18:00:00"	966.43	5.62	74.5
"06.02.2009 20:00:00"	965.91	3.8	76.6
"06.02.2009 22:00:00"	965.14	1.79	83.8
"07.02.2009 00:00:00"	963.93	0.82	82.6
"07.02.2009 02:00:00"	962.96	0.03	84.9
"07.02.2009 04:00:00"	961.8	-1.36	91.1
"07.02.2009 06:00:00"	961.84	-2.26	93.9
"07.02.2009 08:00:00"	961.29	-1.87	94.7
"07.02.2009 10:00:00"	961.12	-0.74	91.3
"07.02.2009 12:00:00"	960.63	2.63	79.5
"07.02.2009 14:00:00"	959.92	5.82	69.62
"07.02.2009 16:00:00"	960.74	3.89	80
"07.02.2009 18:00:00"	961.61	3.46	83.3
"07.02.2009 20:00:00"	962.71	3.13	88
"07.02.2009 22:00:00"	964.22	2.64	89.5
"08.02.2009 00:00:00"	965.76	2.21	89.3
"08.02.2009 02:00:00"	966.8	1.9	89.9
"08.02.2009 04:00:00"	967.89	1.36	91.2
"08.02.2009 06:00:00"	969.82	0.92	90.2
"08.02.2009 08:00:00"	971.92	0.1	74.3
"08.02.2009 10:00:00"	973.27	0.96	70.6
"08.02.2009 12:00:00"	974.6	2.17	63.46
"08.02.2009 14:00:00"	975.35	2.07	61.99
"08.02.2009 16:00:00"	976.29	3.03	58.74
"08.02.2009 18:00:00"	977.66	0.97	66.52
"08.02.2009 20:00:00"	978.76	0.21	69.83
"08.02.2009 22:00:00"	979.89	-0.81	72.5
"09.02.2009 00:00:00"	980.43	-2.34	79.3
"09.02.2009 02:00:00"	980.88	-2.98	84.6
"09.02.2009 04:00:00"	980.95	-2.7	84.1
"09.02.2009 06:00:00"	981.15	-2.19	83.8
"09.02.2009 08:00:00"	981.45	-0.82	78.6
"09.02.2009 10:00:00"	982.03	0.5	72.6
"09.02.2009 12:00:00"	981.52	2.19	61.35
"09.02.2009 14:00:00"	980.76	2.06	58.22
"09.02.2009 16:00:00"	979.83	1.97	60.23
"09.02.2009 18:00:00"	979.18	0.87	67.59
"09.02.2009 20:00:00"	978.09	-0.34	74.4
"09.02.2009 22:00:00"	976.14	-0.44	76.5
"10.02.2009 00:00:00"	973.46	-0.13	77.5
"10.02.2009 02:00:00"	970.86	-0.23	93.8
"10.02.2009 04:00:00"	967.7	-0.85	97.5
"10.02.2009 06:00:00"	965.52	1.1	95.4
"10.02.2009 08:00:00"	963.18	2.5	93.8
"10.02.2009 10:00:00"	960.96	4.37	89.1
"10.02.2009 12:00:00"	959.18	6.54	78.3
"10.02.2009 14:00:00"	959.22	6.32	69.75
"10.02.2009 16:00:00"	960.29	4.06	74.2
"10.02.2009 18:00:00"	961.71	2.27	83.7
"10.02.2009 20:00:00"	963.46	1.87	85.3
"10.02.2009 22:00:00"	966.15	1.16	81
"11.02.2009 00:00:00"	969.3	0.67	79.3
"11.02.2009 02:00:00"	971.78	0.01	85.4
"11.02.2009 04:00:00"	974.18	-0.42	90.9
"11.02.2009 06:00:00"	976.16	-0.64	90.3
"11.02.2009 08:00:00"	977.8	-0.17	80.1
"11.02.2009 10:00:00"	979.9	0.25	77.9
"11.02.2009 12:00:00"	981.27	1.38	69.34
"11.02.2009 14:00:00"	982.25	1.55	71.2
"11.02.2009 16:00:00"	982.91	2.07	59.62
"11.02.2009 18:00:00"	983.45	0	70.1
"11.02.2009 20:00:00"	983.57	0.17	80.6
"11.02.2009 22:00:00"	983.32	-0.04	81.3
"12.02.2009 00:00:00"	983.22	-0.27	85.8
